Series id,Year,Period,Value,MoYr
LNS14000000,1968,Oct,3.4,1968-10-01
LNS14000000,1968,Nov,3.4,1968-11-01
LNS14000000,1968,Dec,3.4,1968-12-01
LNS14000000,1969,Jan,3.4,1969-01-01
LNS14000000,1969,Feb,3.4,1969-02-01
LNS14000000,1969,Mar,3.4,1969-03-01
LNS14000000,1969,Apr,3.4,1969-04-01
LNS14000000,1969,May,3.4,1969-05-01
LNS14000000,1969,Jun,3.5,1969-06-01
LNS14000000,1969,Jul,3.5,1969-07-01
LNS14000000,1969,Aug,3.5,1969-08-01
LNS14000000,1969,Sep,3.7,1969-09-01
LNS14000000,1969,Oct,3.7,1969-10-01
LNS14000000,1969,Nov,3.5,1969-11-01
LNS14000000,1969,Dec,3.5,1969-12-01
LNS14000000,1970,Jan,3.9,1970-01-01
LNS14000000,1970,Feb,4.2,1970-02-01
LNS14000000,1970,Mar,4.4,1970-03-01
LNS14000000,1970,Apr,4.6,1970-04-01
LNS14000000,1970,May,4.8,1970-05-01
LNS14000000,1970,Jun,4.9,1970-06-01
LNS14000000,1970,Jul,5.0,1970-07-01
LNS14000000,1970,Aug,5.1,1970-08-01
LNS14000000,1970,Sep,5.4,1970-09-01
LNS14000000,1970,Oct,5.5,1970-10-01
LNS14000000,1970,Nov,5.9,1970-11-01
LNS14000000,1970,Dec,6.1,1970-12-01
LNS14000000,1971,Jan,5.9,1971-01-01
LNS14000000,1971,Feb,5.9,1971-02-01
LNS14000000,1971,Mar,6.0,1971-03-01
LNS14000000,1971,Apr,5.9,1971-04-01
LNS14000000,1971,May,5.9,1971-05-01
LNS14000000,1971,Jun,5.9,1971-06-01
LNS14000000,1971,Jul,6.0,1971-07-01
LNS14000000,1971,Aug,6.1,1971-08-01
LNS14000000,1971,Sep,6.0,1971-09-01
LNS14000000,1971,Oct,5.8,1971-10-01
LNS14000000,1971,Nov,6.0,1971-11-01
LNS14000000,1971,Dec,6.0,1971-12-01
LNS14000000,1972,Jan,5.8,1972-01-01
LNS14000000,1972,Feb,5.7,1972-02-01
LNS14000000,1972,Mar,5.8,1972-03-01
LNS14000000,1972,Apr,5.7,1972-04-01
LNS14000000,1972,May,5.7,1972-05-01
